id,kingdom,phylum,class,order,family,genus,species,counts,effective_length,sample
FPLS01058915.12.1477,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseococcus,metagenome,1,1,T0RW
FPLS01059508.10.1516,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,metagenome,2,1,T0RW
FQ311868.2945293.2946764,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum lipoferum 4B,30,1,T0RW
FQ311869.525225.526698,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum lipoferum 4B,22,1,T0RW
FR667913.1.1448,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum brasilense,6,1,T0RW
FR853794.1.1447,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,uncultured bacterium,6,1,T0RW
FTMQ01000018.4343.5833,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Rhizobium sp. RU33A,4,1,T0RW
FW416337.1.1457,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unidentified,1,1,T0RW
FXBR01000001.493386.494876,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum lipoferum,8,1,T0RW
GQ037846.1.1352,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,uncultured bacterium,1,1,T0RW
GQ057459.1.1323,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured bacterium,203,1,T0RW
GQ069665.1.1362,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Lelliottia,uncultured bacterium,2,1,T0RW
GQ245981.1.1453,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Comamonas,Comamonas zonglianii,1,1,T0RW
GQ360021.1.1486,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,uncultured,uncultured bacterium,1,1,T0RW
GQ480057.1.1471,Bacteria,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,Singulisphaera,uncultured bacterium,3,1,T0RW
GQ487902.1.1466,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 10,uncultured bacterium,2,1,T0RW
GQ500778.1.1449,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,uncultured bacterium,1,1,T0RW
GU305832.1.1499,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,10,1,T0RW
GU339181.1.1351,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseococcus,Roseococcus sp. HMD1087-2,1,1,T0RW
HAGE01003685.3142.4588,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Poterioochromonas sp. DS,,,1,1,T0RW
HG004581.1.1462,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,Desmonostoc PCC-7422,Desmonostoc sp. Cr3,35,1,T0RW
HG004585.1.1462,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,Desmonostoc PCC-7422,Desmonostoc sp. PCC 9230,7,1,T0RW
HJ970837.1.1466,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,unidentified,30,1,T0RW
HL098942.1.1498,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylophilus,unidentified,1,1,T0RW
HM007535.1.1537,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,uncultured bacterium,1,1,T0RW
HM066519.1.1461,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,uncultured bacterium,5,1,T0RW
HM163284.1.1419,Bacteria,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Taonella,alpha proteobacterium OR-84,25,1,T0RW
HM191705.1.1413,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,Arthrobacter sp. LAS,5,1,T0RW
HM243790.1.1463,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured bacterium,7,1,T0RW
HM259143.1.1358,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured bacterium,1,1,T0RW
HM335467.1.1308,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,alphaI cluster,uncultured bacterium,30,1,T0RW
HM780087.1.1480,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,uncultured bacterium,7,1,T0RW
HQ014655.1.1484,Bacteria,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,Aquisphaera,uncultured bacterium,23,1,T0RW
HQ111158.1.1490,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Paucibacter,uncultured Pelomonas sp.,1,1,T0RW
HQ114094.1.1404,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,24,1,T0RW
HQ119763.1.1516,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,uncultured bacterium,8,1,T0RW
HQ218703.1.1448,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,uncultured bacterium,2,1,T0RW
HQ324863.1.1429,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,uncultured bacterium,4,1,T0RW
HQ652595.1.1512,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hydrogenophaga,Hydrogenophaga sp. p3(2011),7,1,T0RW
HQ681959.1.1489,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium,3,1,T0RW
HQ753666.1.1435,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ideonella,uncultured organism,4,1,T0RW
HQ753875.1.1443,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ideonella,uncultured organism,8,1,T0RW
HQ754741.1.1446,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,uncultured organism,2,1,T0RW
HQ767853.1.1417,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,uncultured organism,2,1,T0RW
HQ771936.1.1446,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Cupriavidus,uncultured organism,2,1,T0RW
HQ773526.1.1458,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Limnobacter,uncultured organism,7,1,T0RW
HQ776419.1.1448,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ideonella,uncultured organism,4,1,T0RW
HQ777956.1.1445,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ideonella,uncultured organism,17,1,T0RW
HQ783538.1.1463,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Cupriavidus,uncultured organism,9,1,T0RW
HQ790365.1.1409,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,uncultured organism,1,1,T0RW
HQ798283.1.1441,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Cupriavidus,uncultured organism,3,1,T0RW
HQ808720.1.1438,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Limnobacter,uncultured organism,1,1,T0RW
HQ827938.1.1503,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Schlesneriaceae,Schlesneria,uncultured bacterium,50,1,T0RW
JF089580.1.1361,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Lelliottia,uncultured bacterium,11,1,T0RW
JF120015.1.1324,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Paraclostridium,uncultured bacterium,1,1,T0RW
JF124221.1.1352,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Noviherbaspirillum,uncultured bacterium,1,1,T0RW
JF241221.1.1321,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,uncultured,uncultured bacterium,1,1,T0RW
JF272041.1.1444,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,,,6,1,T0RW
JF308947.1.1401,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,uncultured,Aquincola sp. HME6814,13,1,T0RW
JF319156.1.1456,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Caenimonas,uncultured beta proteobacterium,1,1,T0RW
JF417852.1.1448,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,uncultured bacterium,2,1,T0RW
JF429120.1.1528,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,uncultured bacterium,,1,1,T0RW
JF501074.1.1420,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,uncultured bacterium,1,1,T0RW
JF505942.1.1214,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum melinis,13,1,T0RW
JF681650.1.1294,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,uncultured,uncultured bacterium,3,1,T0RW
JF922456.1.1471,Bacteria,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,Singulisphaera,uncultured bacterium,3,1,T0RW
JF922487.1.1451,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,uncultured bacterium,1,1,T0RW
JN032800.1.1433,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,uncultured bacterium,1,1,T0RW
JN038286.1.1451,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,uncultured alpha proteobacterium,28,1,T0RW
JN868759.1.1527,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,uncultured bacterium,1,1,T0RW
JN868955.1.1481,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,uncultured bacterium,18,1,T0RW
JN868956.1.1539,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Brevifollis,uncultured bacterium,24,1,T0RW
JN868969.1.1482,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,uncultured bacterium,9,1,T0RW
JN869169.1.1481,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,uncultured bacterium,20,1,T0RW
JN872514.1.1445,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,Methylobacterium sp. SAP23_3,4,1,T0RW
JQ072476.1.1372,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,uncultured bacterium,35,1,T0RW
JQ278782.1.1445,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,uncultured Azospirillum sp.,319,1,T0RW
JQ278811.1.1444,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,uncultured Azospirillum sp.,153,1,T0RW
JQ318574.1.1359,Bacteria,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Taonella,alpha proteobacterium OR-84,1,1,T0RW
JQ425885.1.1440,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,uncultured bacterium,4,1,T0RW
JQ684368.1.1488,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pelomonas,uncultured bacterium,6,1,T0RW
JQ901425.1.1428,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Roseateles,Mitsuaria sp. YN-7,9,1,T0RW
JQ923585.1.1490,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hydrogenophaga,uncultured bacterium,3,1,T0RW
JQ923669.1.1450,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,uncultured bacterium,11,1,T0RW
JQ923727.1.1446,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Stakelama,uncultured bacterium,1,1,T0RW
JQ923857.1.1493,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Cupriavidus,uncultured bacterium,1,1,T0RW
JQ923966.1.1485,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,uncultured,uncultured bacterium,9,1,T0RW
JQ923997.1.1492,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,uncultured bacterium,2,1,T0RW
JWMB01000057.357.1868,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Cupriavidus,Cupriavidus sp. SHE,3,1,T0RW
JX094174.1.1492,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ideonella,Aquincola tertiaricarbonis,23,1,T0RW
JX114411.1.1477,Bacteria,Bacteroidetes,Ignavibacteria,SJA-28,uncultured Ignavibacterium sp.,,,12,1,T0RW
JX222441.1.1451,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,uncultured bacterium,16,1,T0RW
JX222783.1.1467,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Runella,uncultured bacterium,1,1,T0RW
JX222960.1.1472,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 13,uncultured bacterium,1,1,T0RW
JX458456.1.1478,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium sp. W2.09-62,2,1,T0RW
JX458462.1.1461,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. W2.10-2,5,1,T0RW
JX489884.1.1487,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured soil bacterium,1,1,T0RW
JX566536.1.1512,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas sp. 1074,1,1,T0RW
JX843282.1.1448,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum fermentarium,7933,1,T0RW
JX878618.2.1442,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Ancylobacter,Ancylobacter sp. Tet-1,3,1,T0RW
KC002530.1.1361,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Cupriavidus,unidentified marine bacterioplankton,2,1,T0RW
KC170378.1.1509,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,uncultured bacterium,33,1,T0RW
KC170379.1.1507,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,uncultured bacterium,5,1,T0RW
KC236846.1.1440,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,Arthrobacter sp. B2073,3,1,T0RW
KC295711.1.1442,Bacteria,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,uncultured bacterium,,217,1,T0RW
KC329833.1.1449,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Porphyrobacter,Porphyrobacter neustonensis,13,1,T0RW
KC337229.1.1445,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pelomonas,uncultured bacterium,4,1,T0RW
KC352343.1.1395,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,uncultured bacterium,1,1,T0RW
KC540970.1.1476,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,uncultured bacterium,4,1,T0RW
KC551715.1.1447,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,uncultured,uncultured bacterium,1,1,T0RW
KC625550.1.1412,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas mexicana,9,1,T0RW
KC633499.1.1493,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,uncultured beta proteobacterium,1,1,T0RW
KC683144.1.1485,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,uncultured,uncultured bacterium,2,1,T0RW
KC683249.1.1480,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,alphaI cluster,uncultured bacterium,1,1,T0RW
KC820083.1.1427,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,uncultured bacterium,1,1,T0RW
KC854825.1.1467,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Xanthomonas sp. LY5,5,1,T0RW
KC855017.1.1454,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,uncultured,Acetobacteraceae bacterium WX59,,1,1,T0RW
KF003149.1.1464,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Runella,uncultured Runella sp.,1593,1,T0RW
KF010683.1.1445,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,uncultured bacterium,13,1,T0RW
KF029438.1.1520,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chlorella sp. CC-Bw-9,,,2,1,T0RW
KF511881.1.1503,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Silanimonas,uncultured bacterium,8,1,T0RW
KJ128032.1.1448,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,uncultured Rhizobium sp.,4,1,T0RW
KJ808049.1.1497,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,uncultured bacterium,2,1,T0RW
KJ862840.1.1469,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Niveispirillum,Azospirillum sp. taihu16,3,1,T0RW
KM016273.1.1418,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Paludibaculum,uncultured Acidobacteria bacterium,13,1,T0RW
KM025198.1.1405,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,Bosea sp. Zer-1,4,1,T0RW
KM054707.1.1414,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,Thermomonas sp. B14,45,1,T0RW
KM200725.1.1491,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hydrogenophaga,uncultured bacterium,2,1,T0RW
KM204394.1.1452,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,uncultured bacterium,11,1,T0RW
KM349967.1.1333,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Rhizobium sp. ACO-34A,2,1,T0RW
KM411501.1.1415,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fulva,1,1,T0RW
KP636068.1.1476,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pelomonas,uncultured bacterium,33,1,T0RW
KP636079.1.1476,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pelomonas,uncultured bacterium,8,1,T0RW
KP636204.1.1422,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,uncultured bacterium,1,1,T0RW
KP676401.1.1472,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum lipoferum,25,1,T0RW
KP896331.1.1341,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Niveispirillum,uncultured bacterium,2,1,T0RW
KR606390.1.1537,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,Anoxybacillus sp. ARS-1,1,1,T0RW
KT003984.1.1374,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,Dyadobacter endophyticus,1,1,T0RW
KT309087.1.1404,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium aquaticum,20,1,T0RW
KT695833.1.1540,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,7,1,T0RW
KT767792.1.1445,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,4,1,T0RW
KT819199.1.1483,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,Ancylothrix 8PC,Phormidiaceae cyanobacterium 10PC,1,1,T0RW
KT894553.1.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,Thermomonas haemolytica,10,1,T0RW
KT952293.1.1444,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Pinnularia sp. U-strain,,,16,1,T0RW
KU551134.1.1490,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ideonella,Aquincola tertiaricarbonis,39,1,T0RW
KU961788.1.1448,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,uncultured Azospirillum sp.,3,1,T0RW
KX099290.1.1456,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp.,1,1,T0RW
KX443768.1.1485,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pelomonas,uncultured bacterium,20,1,T0RW
KX508921.1.1492,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ramlibacter,uncultured bacterium,15,1,T0RW
KX508940.1.1492,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,uncultured,uncultured bacterium,2,1,T0RW
KX508957.1.1492,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ramlibacter,uncultured bacterium,7,1,T0RW
KX509712.1.1496,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ramlibacter,uncultured bacterium,1,1,T0RW
KY117478.1.1418,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum sp.,50,1,T0RW
KY117479.1.1427,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum sp.,35,1,T0RW
KY233201.1.1470,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,Bacteroidetes bacterium,1,1,T0RW
KY363640.1.1386,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Nevskia,Nevskia sp.,18,1,T0RW
KY542119.1.1547,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp.,5,1,T0RW
KY882050.1.1414,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,Methylobacterium populi,14,1,T0RW
KY883989.1.1402,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hydrogenophaga,Hydrogenophaga sp.,1,1,T0RW
KY922827.1.1487,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,Sediminibacterium sp. SYL130,2,1,T0RW
KY937208.1.1432,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,Dyadobacter sp. T17,5,1,T0RW
LC005599.1.1460,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Kaistiaceae,Kaistia,Kaistia sp. TBD058,4,1,T0RW
LC005602.1.1460,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Ancylobacter,Ancylobacter sp. TBD132,65,1,T0RW
LC005606.1.1464,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis sp. TBD181,7,1,T0RW
LC094490.1.1436,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Porphyrobacter,Porphyrobacter sp. S12,11,1,T0RW
LC217394.1.1420,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,alpha proteobacterium BIWA07,1,1,T0RW
LC218409.1.1446,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Pleomorphomonadaceae,Chthonobacter,Pleomorphomonas sp. SM-2017,30,1,T0RW
LDSL01000133.347.1883,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pseudacidovorax,Pseudacidovorax intermedius,6,1,T0RW
LF133407.1.1469,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,Blastomonas natatoria,2,1,T0RW
LMHQ01000027.3828.5364,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,Acidovorax sp. Root70,2,1,T0RW
